date,balance_a,total_cc_balance_a,total_iou_balance_a,accrued_interest_unposted_a,earn_a,bill_due_a,gas_bucket_a,balance_b,total_cc_balance_b,total_iou_balance_b,accrued_interest_unposted_b,earn_b,bill_due_b,gas_bucket_b,balance_delta,total_cc_balance_delta,total_iou_balance_delta,accrued_interest_unposted_delta,earn_delta,bill_due_delta,gas_bucket_delta
2025-01-01,-298.0,0,0,0,120.0,900.0,18.0,-704.0,2200.0,0,1.81,95.0,900.0,19.0,-406.0,2200.0,0,1.81,-25.0,0.0,1.0
2025-01-02,-221.0,0,0,0,120.0,0.0,11.0,-653.0,2200.0,0,3.62,95.0,0.0,13.0,-432.0,2200.0,0,3.62,-25.0,0.0,2.0
2025-01-03,-144.0,0,0,0,120.0,0.0,4.0,-602.0,2200.0,0,5.42,95.0,0.0,7.0,-458.0,2200.0,0,5.42,-25.0,0.0,3.0
2025-01-04,-42.0,0,0,0,120.0,0.0,22.0,-551.0,2200.0,0,7.23,95.0,0.0,1.0,-509.0,2200.0,0,7.23,-25.0,0.0,-21.0
2025-01-05,-25.0,0,0,0,120.0,60.0,15.0,-475.0,2200.0,0,9.04,95.0,0.0,20.0,-450.0,2200.0,0,9.04,-25.0,-60.0,5.0
2025-01-06,52.0,0,0,0,120.0,0.0,8.0,-424.0,2200.0,0,10.85,95.0,0.0,14.0,-476.0,2200.0,0,10.85,-25.0,0.0,6.0
2025-01-07,129.0,0,0,0,120.0,0.0,1.0,-373.0,2200.0,0,12.65,95.0,0.0,8.0,-502.0,2200.0,0,12.65,-25.0,0.0,7.0
2025-01-08,231.0,0,0,0,120.0,0.0,19.0,-322.0,2200.0,0,14.46,95.0,0.0,2.0,-553.0,2200.0,0,14.46,-25.0,0.0,-17.0
2025-01-09,308.0,0,0,0,120.0,0.0,12.0,-246.0,2200.0,0,16.27,95.0,0.0,21.0,-554.0,2200.0,0,16.27,-25.0,0.0,9.0
2025-01-10,385.0,0,0,0,120.0,0.0,5.0,-195.0,2200.0,0,18.08,95.0,0.0,15.0,-580.0,2200.0,0,18.08,-25.0,0.0,10.0
2025-01-11,487.0,0,0,0,120.0,0.0,23.0,-144.0,2200.0,0,19.88,95.0,0.0,9.0,-631.0,2200.0,0,19.88,-25.0,0.0,-14.0
2025-01-12,509.0,0,0,0,120.0,55.0,16.0,-93.0,2200.0,0,21.69,95.0,0.0,3.0,-602.0,2200.0,0,21.69,-25.0,-55.0,-13.0
2025-01-13,586.0,0,0,0,120.0,0.0,9.0,-17.0,2200.0,0,23.5,95.0,0.0,22.0,-603.0,2200.0,0,23.5,-25.0,0.0,13.0
2025-01-14,663.0,0,0,0,120.0,0.0,2.0,34.0,2200.0,0,25.31,95.0,0.0,16.0,-629.0,2200.0,0,25.31,-25.0,0.0,14.0
2025-01-15,765.0,0,0,0,120.0,0.0,20.0,85.0,2200.0,0,27.11,95.0,0.0,10.0,-680.0,2200.0,0,27.11,-25.0,0.0,-10.0
2025-01-16,842.0,0,0,0,120.0,0.0,13.0,70.0,2134.0,0,28.92,95.0,0.0,4.0,-772.0,2134.0,0,28.92,-25.0,0.0,-9.0
2025-01-17,919.0,0,0,0,120.0,0.0,6.0,146.0,2134.0,0,30.68,95.0,0.0,23.0,-773.0,2134.0,0,30.68,-25.0,0.0,17.0
2025-01-18,1021.0,0,0,0,120.0,0.0,24.0,57.0,2134.0,0,32.43,95.0,140.0,17.0,-964.0,2134.0,0,32.43,-25.0,140.0,-7.0
2025-01-19,1098.0,0,0,0,120.0,0.0,17.0,108.0,2134.0,0,34.18,95.0,0.0,11.0,-990.0,2134.0,0,34.18,-25.0,0.0,-6.0
2025-01-20,1175.0,0,0,0,120.0,0.0,10.0,159.0,2134.0,0,35.94,95.0,0.0,5.0,-1016.0,2134.0,0,35.94,-25.0,0.0,-5.0
